Word,Lemma
मूलकोशिका,मूलकोशिका
एकल,एकल
वैग्रन्थः,वैग्रन्थः
वैशिष्ट्यम्,वैशिष्ट्यम्
संसदीय,संसदीय
संयुक्त-राष्ट्र-सुरक्षा-परिषद्,संयुक्त-राष्ट्र-सुरक्षा-परिषद्
पञ्चवार्षिक,पञ्चवार्षिक
विश्वचषकम्,विश्वचषकम्
जन्तर-मन्तर,जन्तर-मन्तर
भपङ्गवाद्यम्,भपङ्गवाद्यम्
बोपङ्गवाद्यम्,भपङ्गवाद्यम्
कञ्जरी,कञ्जरी
लङ्गागीतम्,लङ्गागीतम्
लङ्गाजातिः,लङ्गाजातिः
माङ्गनयारजातिः,माङ्गनयारजातिः
माङ्गणियारजातिः,माङ्गनयारजातिः
लङ्गा-माङ्गनयारौ,लङ्गा-माङ्गनयारौ
लङ्गा-माङ्गणियारौ,लङ्गा-माङ्गनयारौ
नदवाद्यम्,नदवाद्यम्
राजघाटम्,राजघाटम्
अनिलचुल्लिः,अनिलचुल्लिः
अनलचुल्लिः,अनिलचुल्लिः
आत्मकेन्द्रित,आत्मकेन्द्रित
आत्मलीन,आत्मलीन
आत्ममग्न;_आत्मरत,आत्मलीन
आत्मगौरवम्,आत्मगौरवम्
आत्मविकासः,आत्मविकासः
चञ्चापुरुषः,चञ्चापुरुषः
हिमार्त,हिमार्त
ग्रन्थयात्रा,ग्रन्थयात्रा
क्षेत्रम्,क्षेत्रम्
प्रतिक्रिया,प्रतिक्रिया
प्रतिसारणम्,प्रतिसारणम्
महाविक्रयमूल्यम्,महाविक्रयमूल्यम्
आखातीयदेशः,आखातीयदेशः
अनगरम्,अनगरम्
अनगरीय,अनगरीय
युतकम्,युतकम्
अन्तर्युतकम्,युतकम्
कालबेलियाजातिः,कालबेलियाजातिः
जोगिया-सारङ्गी,जोगिया-सारङ्गी
कमायचावाद्यम्,कमायचावाद्यम्
सिन्धी-सारङ्गी,सिन्धी-सारङ्गी
कालबेलिया,कालबेलिया
सिमकार्डम्,सिमकार्डम्
नृत्यशैली,नृत्यशैली
नीतिगत,नीतिगत
मोटर-वाहन-अधिनियमः,मोटर-वाहन-अधिनियमः
जीवाणुरोधिन्,जीवाणुरोधिन्
जीवाणुरोधक,जीवाणुरोधिन्
उपचारगृहम्,उपचारगृहम्
प्रतिविषविधिः,प्रतिविषविधिः
वृषणिः,वृषणिः
भूवैज्ञानिक,भूवैज्ञानिक
अखिल,अखिल
निखिल,अखिल
सम्पूर्ण,अखिल
अङ्कफलकः,अङ्कफलकः
अपहरणम्,अपहरणम्
अपहारम्,अपहरणम्
दृश्यता,दृश्यता
दृश्यत्वम्,दृश्यता
नियामकः,नियामकः
जल-भूवैज्ञानिकः,जल-भूवैज्ञानिकः
केन्द्रीय-भूमिगत-जल-परिषद्,केन्द्रीय-भूमिगत-जल-परिषद्
वायुः,वायुः
किट्टरोधी,किट्टरोधी
पेस्ट्री,पेस्ट्री
पुनर्निवाचनम्,पुनर्निवाचनम्
मासिकम्,मासिकम्
नियतकालिकम्,नियतकालिकम्
कलशी,कलशी
वर्तिका,वर्तिका
तेजस्विन्,तेजस्विन्
वस्त्रासनम्,वस्त्रासनम्
विसर्जित,विसर्जित
विदेश-मन्त्रालयः,विदेश-मन्त्रालयः
विदेश-मन्त्रालयः,विदेश-मन्त्रालयः
रक्षकः,रक्षकः
त्राता,रक्षकः
मिनामिसोमानगरम्,मिनामिसोमानगरम्
पर्यावरण-मन्त्रालयः,पर्यावरण-मन्त्रालयः
पर्यावरण-मन्त्रालयः,पर्यावरण-मन्त्रालयः
वटपौर्णिमा,वटपौर्णिमा
संवेदनाशून्य,संवेदनाशून्य
फुकुशिमादायचीक्षेत्रम्,फुकुशिमादायचीक्षेत्रम्
शीतीकृत,शीतीकृत
महाशिवरात्रिः,महाशिवरात्रिः
शिवरात्रिः,महाशिवरात्रिः
शिवरात्रिः,शिवरात्रिः
अविश्वासप्रस्तावः,अविश्वासप्रस्तावः
विश्वासमतम्,विश्वासमतम्
क्रयविक्रयः,क्रयविक्रयः
चक्रयानम्,चक्रयानम्
मण्डलाधिकारिकार्यालयः,मण्डलाधिकारिकार्यालयः
यूको-बैङ्क,यूको-बैङ्क
अनुत्तरदायित्वम्,अनुत्तरदायित्वम्
चतहमद्वीपसमूहः,चतहमद्वीपसमूहः
इन्डियन-बैङ्क,इन्डियन-बैङ्क
अल्जाइमरम्,अल्जाइमरम्
वाटी,वाटी
वाटः,वाटी
विलोकनम्,विलोकनम्
ईक्षणम्,विलोकनम्
व्यवहारः,व्यवहारः
मधुमेह-विशेषज्ञः,मधुमेह-विशेषज्ञः
मूत्रनलिका,मूत्रनलिका
मूत्रवाहिका,मूत्रनलिका
ऋषि-पञ्चमी,ऋषि-पञ्चमी
सेना,सेना
प्रबल,प्रबल
मोतीहारीमण्डलम्,मोतीहारीमण्डलम्
केन्द्रीय-आरक्षितपुलिसबलम्,केन्द्रीय-आरक्षितपुलिसबलम्
विशेषकार्यबलम्,विशेषकार्यबलम्
प्रसूतिकालः,प्रसूतिकालः
प्रबोधनम्,प्रबोधनम्
प्रदक्षिणम्,प्रदक्षिणम्
प्रदक्षिणः,प्रदक्षिणम्
प्रशंसा-पत्रम्,प्रशंसा-पत्रम्
प्रवाहपतित,प्रवाहपतित
उत्कीर्ण-प्रतिमा,उत्कीर्ण-प्रतिमा
विभङ्गता,विभङ्गता
कर्करापाकः,कर्करापाकः
वाच्यम्,वाच्यम्
काजूतकम्,काजूतकम्
प्रकाशनम्,प्रकाशनम्
विमोचनम्,विमोचनम्
विमोचनम्,विमोचनम्
शाकाहारिन्,शाकाहारिन्
शुष्क,शुष्क
परिजीर्ण,शुष्क
परिम्लान,शुष्क
कतरदेशः,कतरदेशः
केपवर्डेदेशः,केपवर्डेदेशः
अस्थिरोगतज्ज्ञः,अस्थिरोगतज्ज्ञः
कायनिर्माणम्,कायनिर्माणम्
व्यायामशाला,व्यायामशाला
आरोपणम्,आरोपणम्
आहारविशेषज्ञः,आहारविशेषज्ञः
पुनर्वास-केन्द्रम्,पुनर्वास-केन्द्रम्
दृष्टिक्षतिः,दृष्टिक्षतिः
पूर्वानुमतिः,पूर्वानुमतिः
पूर्वानुज्ञा,पूर्वानुमतिः
परग्रहीय,परग्रहीय
परिभ्रमणम्,परिभ्रमणम्
दृढ,दृढ
कूरगीभाषा,कूरगीभाषा
कोडगुभाषा,कूरगीभाषा
कूर्गीभाषा,कूरगीभाषा
लोकलयः,लोकलयः
सीमा,सीमा
अल्पमूल्य,अल्पमूल्य
न्यूनमूल्य,अल्पमूल्य
समर्घ,अल्पमूल्य
भक्ष्यम्,भक्ष्यम्
अवशेषः,अवशेषः
विकीर्णम्,विकीर्णम्
विक्रेता,विक्रेता
हरिद्राचूर्णम्,हरिद्राचूर्णम्
रक्तमरिचचूर्णम्,रक्तमरिचचूर्णम्
भूमुद्गकणः,भूमुद्गकणः
भूमुद्गकणीका,भूमुद्गकणः
भूमुद्रकणिकः,भूमुद्गकणः
नित्यकर्म,नित्यकर्म
सिकन्दरियानगरम्,सिकन्दरियानगरम्
सिकन्दरिया,सिकन्दरिया
उत्सुक,उत्सुक
आज्ञा,आज्ञा
आदेशः,आज्ञा
निर्देशः,आज्ञा
निदेशः,आज्ञा
शासनम्,आज्ञा
शिष्टिः,आज्ञा
अववादः,आज्ञा
जलपरिवहनम्,जलपरिवहनम्
लटकिया-नौकास्थानम्,लटकिया-नौकास्थानम्
प्रयासरत,प्रयासरत
विमाननायकः,विमाननायकः
धनुः,धनुः
द्वारम्,द्वारम्
निर्गमनम्,द्वारम्
कवाटः,द्वारम्
मञ्जकः,मञ्जकः
शुष्क,शुष्क
निःशेषीकरणम्,निःशेषीकरणम्
प्राधान्यक्रमः,प्राधान्यक्रमः
प्रातःस्मरणम्,प्रातःस्मरणम्
प्राणाहुतिः,प्राणाहुतिः
रुढ,रुढ
प्रक्षिप्त,प्रक्षिप्त
अतिक्रुध्,अतिक्रुध्
प्राणिमात्रम्,प्राणिमात्रम्
प्राणिजातिः,प्राणिमात्रम्
अंशः,अंशः
प्रसाधन-गृहम्,प्रसाधन-गृहम्
वंशवादः,वंशवादः
अभियाचना,अभियाचना
अभ्यर्थना,अभियाचना
याच्ञा,अभियाचना
गोपनम्,गोपनम्
गुहनम्,गोपनम्
निगुहनम्,गोपनम्
छादनम्,गोपनम्
परिदेवनकर्ता,परिदेवनकर्ता
सूचित,सूचित
लोकपालः,लोकपालः
अशौचम्,अशौचम्
सुरक्षाराशिः,सुरक्षाराशिः
कृष्णनेत्रपटलम्,कृष्णनेत्रपटलम्
कृष्णपटलम्,कृष्णनेत्रपटलम्
कृष्णकाचः,कृष्णनेत्रपटलम्
कृष्णलिङ्गनाशः,कृष्णनेत्रपटलम्
कृष्णनिर्झरः,कृष्णनेत्रपटलम्
फैसलाबादनगरम्,फैसलाबादनगरम्
फैसलाबादमण्डलम्,फैसलाबादमण्डलम्
अक्कलकोटः,अक्कलकोटः
ऋणमुक्तिपत्रम्,ऋणमुक्तिपत्रम्
क्षेपणीय,क्षेपणीय
फातिहाः,फातिहाः
फात्याः,फातिहाः
ऊष्माङ्कः,ऊष्माङ्कः
जीवाण्विक,जीवाण्विक
जीवाण्विक,जीवाण्विक
स्वीकारोक्तिः,स्वीकारोक्तिः
अधिकमूल्यम्,अधिकमूल्यम्
प्राथमिक-चिकित्सा,प्राथमिक-चिकित्सा
अस्थिक्षयरोगः,अस्थिक्षयरोगः
जेनेवानगरम्,जेनेवानगरम्
जेनेवासरोवरः,जेनेवासरोवरः
असन्तुलित,असन्तुलित
सन्तुलित,सन्तुलित
असन्तुलित,असन्तुलित
स्टेट-बैङ्क-ऑफ-बीकानेर-ऐण्ड-जयपुर,स्टेट-बैङ्क-ऑफ-बीकानेर-ऐण्ड-जयपुर
